Catchment,prcptot,RR1,rx1day,rx5day,cwd,rr20mm,r90p,r95p,r99p,r90pday,r95pday,r99pday,nrr95p,nrr99p,dry_days,cdd,Year
GRDC_6335640,934.43378365361,213.4,24.764344700000002,53.74662551,24.8,1.2,8.731186715000002,11.329051757499993,17.386303486000006,21.9,11.2,2.7,0.2746745981916745,0.17048098324170285,151.9,17.0,2015.5
GRDC_6335650,914.65269036813,201.6,28.982869888888885,51.876870311111105,19.6,2.2,8.941678138888888,12.741155311111102,19.57100249666667,20.6,10.5,2.7,0.28198919135126344,0.15907401737745736,126.4,13.9,2015.5
GRDC_6335651,803.8262234346059,187.3,26.494409333333333,49.354364877777776,20.8,1.9,8.619223855555555,11.646789766666659,18.950257111111114,19.0,9.8,2.4,0.28563352148949944,0.1655136080826647,104.2,14.0,2015.5
GRDC_6335660,1082.99475881886,231.0,29.833385399999997,59.406269910000006,26.6,2.7,9.688521760000002,12.928417734999996,19.301267997999997,23.7,12.1,3.0,0.2763861591824144,0.16498503755847518,134.3,14.7,2015.5
GRDC_6335665,878.87744185965,201.7,26.134706555555553,51.14537776666666,22.3,1.1,8.627364466666668,11.570749377777775,18.088019293333325,20.6,10.6,2.6,0.28596404457748753,0.1623726474735559,126.3,14.5,2015.5
GRDC_6335670,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,2015.5
GRDC_6335671,1070.5729942234161,234.0,29.1530393,76.16096908,33.4,2.9,9.626678915000003,13.193846849999996,19.888724059999998,23.8,12.2,2.8,0.29960192591150814,0.18361846187587044,94.8,9.5,2015.5
GRDC_6335675,887.02490956941,197.6,26.614941699999996,55.346034540000005,19.2,1.4,9.530209013000002,12.208035397499994,17.655212594999988,20.3,10.5,2.6,0.27330629525792516,0.17725251551651103,130.7,19.1,2015.5
GRDC_6335676,976.8035916212881,220.5,28.2392932,57.80879887,21.9,2.1,8.972526042999998,12.057407209999997,18.969864232999992,22.5,11.6,2.9,0.2754372526464463,0.15617922613427698,144.8,18.6,2015.5
GRDC_6335677,900.65622342687,210.9,26.843116,55.090613366666666,20.0,1.8,8.719476567777779,12.066548699999997,18.82110364333333,21.6,11.1,2.7,0.27700918894984516,0.16312332404540741,117.1,14.8,2015.5
