,GRDC_6335117,GRDC_6335125,GRDC_6342660,GRDC_6342670,GRDC_6342675
2011-06-24,0.25459445,0.52106714,0.8639601,0.50220174,0.48807842
2011-06-25,0.2278614,0.48302227,0.67762005,0.41795093,0.40610856
2011-06-26,0.19204634,0.47902262,0.63345265,0.3796702,0.37753075
2011-06-27,0.17467403,0.48054498,0.5887038,0.36427993,0.37265682
2011-06-28,0.1600681,0.4761191,0.5446762,0.337969,0.34950566
2011-06-29,0.12817377,0.4884196,0.5243043,0.3190626,0.3317818
2011-06-30,0.200769,0.5217103,1.3103261,0.34179848,0.44346803
2011-07-01,0.15860057,0.5057158,1.5420282,0.46368474,0.5843679
2011-07-02,0.18361473,0.47975373,1.2166532,0.4541794,0.5462231
2011-07-03,0.16417396,0.4490738,0.91248727,0.40660858,0.48316175
2011-07-04,0.14996171,0.43709892,0.74393946,0.3950681,0.4474606
2011-07-05,0.14280123,0.43391877,0.728941,0.3562184,0.4209867
2011-07-06,0.1372211,0.4220155,0.6616042,0.35638165,0.42105234
2011-07-07,0.09285134,0.48517454,0.6073719,0.3294857,0.38872904
2011-07-08,0.17264193,0.6809464,0.6182792,0.2995398,0.3587095
2011-07-09,0.15636384,0.688591,0.63029313,0.31186575,0.3732704
2011-07-10,0.11136067,1.0983682,0.6754743,0.3684762,0.43618506
2011-07-11,0.21483797,0.97600967,0.5976392,0.44273657,0.46797687
2011-07-12,0.16924083,0.83284765,0.5303382,0.39132786,0.41899103
2011-07-13,0.13053322,1.8898668,0.67119205,0.43476993,0.45755523
2011-07-14,0.2584268,1.5933503,0.6634549,0.48684037,0.4882996
2011-07-15,0.20421994,1.1369935,0.54593813,0.43282962,0.4390918
2011-07-16,0.18888593,0.8952246,0.47996128,0.37517256,0.3898151
2011-07-17,0.13104665,1.3471115,0.5169791,0.3378638,0.36611944
2011-07-18,0.22942668,1.1682677,0.52894187,0.33889812,0.3618399
2011-07-19,0.21484607,1.3041947,0.61705744,0.32443613,0.36777627
2011-07-20,0.17477268,1.2705138,2.8903046,1.6694994,1.8724468
2011-07-21,0.241498,1.3454481,3.244018,1.6771379,2.0032663
2011-07-22,0.26865953,1.6439902,2.6336055,1.3019956,1.5498061
2011-07-23,0.23114759,1.5010316,1.6361464,0.9309018,1.0575
2011-07-24,0.22048253,1.2869564,1.0575612,0.7102946,0.79615355
2011-07-25,0.2290613,1.0468161,0.8476403,0.58015406,0.66452193
2011-07-26,0.20124722,0.9832603,0.7399236,0.49858558,0.58574
2011-07-27,0.30363423,1.4915918,0.6668103,0.43945438,0.52939934
